Date,Power (kW)
2019-01-01 00:00:00,93.576
2019-01-01 01:00:00,94.166
2019-01-01 02:00:00,94.725
2019-01-01 03:00:00,97.048
2019-01-01 04:00:00,95.032
2019-01-01 05:00:00,96.062
2019-01-01 06:00:00,94.803
2019-01-01 07:00:00,108.339
2019-01-01 08:00:00,165.053
2019-01-01 09:00:00,167.099
2019-01-01 10:00:00,168.176
2019-01-01 11:00:00,167.014
2019-01-01 12:00:00,166.904
2019-01-01 13:00:00,165.091
2019-01-01 14:00:00,166.673
2019-01-01 15:00:00,166.719
2019-01-01 16:00:00,170.029
2019-01-01 17:00:00,173.931
2019-01-01 18:00:00,177.147
2019-01-01 19:00:00,123.014
2019-01-01 20:00:00,105.908
2019-01-01 21:00:00,105.253
2019-01-01 22:00:00,107.703
2019-01-01 23:00:00,108.823
2019-01-02 00:00:00,127.347
2019-01-02 01:00:00,122.654
2019-01-02 02:00:00,122.644
2019-01-02 03:00:00,122.521
2019-01-02 04:00:00,119.207
2019-01-02 05:00:00,130.348
2019-01-02 06:00:00,158.392
2019-01-02 07:00:00,249.993
2019-01-02 08:00:00,396.278
2019-01-02 09:00:00,447.683
2019-01-02 10:00:00,468.863
2019-01-02 11:00:00,469.82
2019-01-02 12:00:00,470.791
2019-01-02 13:00:00,455.86
2019-01-02 14:00:00,465.906
2019-01-02 15:00:00,441.077
2019-01-02 16:00:00,420.479
2019-01-02 17:00:00,383.074
2019-01-02 18:00:00,355.676
2019-01-02 19:00:00,264.848
2019-01-02 20:00:00,208.469
2019-01-02 21:00:00,162.771
2019-01-02 22:00:00,135.841
2019-01-02 23:00:00,131.398
2019-01-03 00:00:00,139.419
2019-01-03 01:00:00,117.674
2019-01-03 02:00:00,118.583
2019-01-03 03:00:00,114.688
2019-01-03 04:00:00,113.338
2019-01-03 05:00:00,118.651
2019-01-03 06:00:00,140.224
2019-01-03 07:00:00,222.579
2019-01-03 08:00:00,334.367
2019-01-03 09:00:00,308.638
2019-01-03 10:00:00,337.947
2019-01-03 11:00:00,349.226
2019-01-03 12:00:00,337.546
2019-01-03 13:00:00,332.487
2019-01-03 14:00:00,338.973
2019-01-03 15:00:00,351.47
2019-01-03 16:00:00,311.817
2019-01-03 17:00:00,256.114
2019-01-03 18:00:00,237.905
2019-01-03 19:00:00,190.59
2019-01-03 20:00:00,153.344
2019-01-03 21:00:00,141.224
2019-01-03 22:00:00,127.01
2019-01-03 23:00:00,123.985
2019-01-04 00:00:00,104.439
2019-01-04 01:00:00,86.457
2019-01-04 02:00:00,86.414
2019-01-04 03:00:00,83.217
2019-01-04 04:00:00,82.815
2019-01-04 05:00:00,87.201
2019-01-04 06:00:00,102.312
2019-01-04 07:00:00,188.686
2019-01-04 08:00:00,261.516
2019-01-04 09:00:00,290.835
2019-01-04 10:00:00,308.959
2019-01-04 11:00:00,300.391
2019-01-04 12:00:00,331.518
2019-01-04 13:00:00,313.652
2019-01-04 14:00:00,312.089
2019-01-04 15:00:00,304.326
2019-01-04 16:00:00,294.737
2019-01-04 17:00:00,276.394
2019-01-04 18:00:00,234.526
2019-01-04 19:00:00,176.092
2019-01-04 20:00:00,158.612
2019-01-04 21:00:00,136.778
2019-01-04 22:00:00,132.568
2019-01-04 23:00:00,122.298
2019-01-05 00:00:00,101.056
2019-01-05 01:00:00,85.658
2019-01-05 02:00:00,80.95
2019-01-05 03:00:00,81.633
2019-01-05 04:00:00,78.515
2019-01-05 05:00:00,78.718
2019-01-05 06:00:00,80.415
2019-01-05 07:00:00,106.814
2019-01-05 08:00:00,137.94
2019-01-05 09:00:00,137.635
2019-01-05 10:00:00,149.528
2019-01-05 11:00:00,146.475
2019-01-05 12:00:00,148.06
2019-01-05 13:00:00,155.084
2019-01-05 14:00:00,149.155
2019-01-05 15:00:00,163.783
2019-01-05 16:00:00,157.765
2019-01-05 17:00:00,157.768
2019-01-05 18:00:00,152.412
2019-01-05 19:00:00,119.965
2019-01-05 20:00:00,107.861
2019-01-05 21:00:00,104.382
2019-01-05 22:00:00,105.424
2019-01-05 23:00:00,103.207
2019-01-06 00:00:00,134.892
2019-01-06 01:00:00,133.4
2019-01-06 02:00:00,130.17
2019-01-06 03:00:00,130.652
2019-01-06 04:00:00,128.067
2019-01-06 05:00:00,127.708
2019-01-06 06:00:00,123.317
2019-01-06 07:00:00,130.058
2019-01-06 08:00:00,150.845
2019-01-06 09:00:00,153.294
2019-01-06 10:00:00,167.791
2019-01-06 11:00:00,158.516
2019-01-06 12:00:00,162.628
2019-01-06 13:00:00,159.494
2019-01-06 14:00:00,159.021
2019-01-06 15:00:00,156.689
